Battenoord;3244–3244;Goeree-Overflakkee;Zuid-Holland;
Bavel;4854–4854;Breda;Noord-Brabant;
Bavinkel;7607–7607;Almelo;Overijssel;
Bazuin;7921–7921;De Wolden;Drenthe;
Bears;9025–9025;Littenseradiel;Fryslân;
Beckum;7554–7554;Hengelo;Overijssel;
Bedaf;5406–5406;Uden;Noord-Brabant;
Bedum;9780–9781;Bedum;Groningen;
Beegden;6099–6099;Maasgouw;Limburg;
Beek;6190–6191;Beek;Limburg;
Beek;7037–7037;Montferland;Gelderland;
Beek;6573–6573;Groesbeek;Gelderland;
Beek;5815–5815;Venray;Limburg;
Beek en Donk;5740–5741;Laarbeek;Noord-Brabant;
Beekbergen;7360–7361;Apeldoorn;Gelderland;
Beekdorp;7597–7597;Dinkelland;Overijssel;
Beekheuvel;5853–5853;Bergen;Limburg;
Beekkant;6095–6095;Leudal;Limburg;
Beemdkant;5737–5737;Laarbeek;Noord-Brabant;
Beemte;7341–7341;Apeldoorn;Gelderland;
Beerenplaat;3209–3209;Nissewaard;Zuid-Holland;
Beers;5437–5437;Cuijk;Noord-Brabant;
Beersterhoogen;9687–9687;Oldambt;Groningen;
Beerta;9686–9686;Oldambt;Groningen;
Beertsenhoven;6321–6321;Gulpen-Wittem;Limburg;
Beerze;7736–7736;Ommen;Overijssel;
Beerzerveld;7685–7685;Ommen;Overijssel;
Beesd;4153–4153;Geldermalsen;Gelderland;
Beesel;5954–5954;Beesel;Limburg;
Beetgum;9044–9044;Menameradiel;Fryslân;
Beetgumermolen;9045–9045;Menameradiel;Fryslân;
Beets;1475–1475;Zeevang;Noord-Holland;
Beetsterzwaag;9244–9244;Opsterland;Fryslân;
Behelp;5725–5725;Asten;Noord-Brabant;
Beilen;9410–9412;Midden-Drenthe;Drenthe;
Beilervaart;9411–9411;Midden-Drenthe;Drenthe;
Beinsdorp;2144–2144;Haarlemmermeer;Noord-Holland;
Beinum;6983–6983;Doesburg;Gelderland;
Bekelaar;5731–5731;Geldrop-Mierlo;Noord-Brabant;
Bekveld;7255–7255;Bronckhorst;Gelderland;
Beldert;4315–4315;Schouwen-Duiveland;Zeeland;
Belfeld;5950–5951;Venlo;Limburg;
Belgenhoek;5985–5985;Peel en Maas;Limburg;
Belgeren;5756–5756;Deurne;Noord-Brabant;
Bellingwolde;9695–9695;Bellingwedde;Groningen;
Beltrum;7156–7156;Berkelland;Gelderland;
Belt-Schutsloot;8066–8066;Steenwijkerland;Overijssel;
Belvert;5076–5076;Haaren;Noord-Brabant;
Bemelen;6268–6268;Eijsden-Margraten;Limburg;
Bemmel;6680–6681;Lingewaard;Gelderland;
Bemmer;5741–5741;Laarbeek;Noord-Brabant;
Benderse;7963–7963;De Wolden;Drenthe;
Beneden Veensloot;9651–9651;Menterwolde;Groningen;
Benedenberg;2861–2861;Krimpenerwaard;Zuid-Holland;
Benedeneind;6718–6718;Ede;Gelderland;
Benedeneind;5394–5394;Oss;Noord-Brabant;
Beneden-Haastrecht;2851–2851;Krimpenerwaard;Zuid-Holland;
Benedenheul;2821–2821;Krimpenerwaard;Zuid-Holland;
Benedenkerk;2821–2821;Krimpenerwaard;Zuid-Holland;
Beneden-Leeuwen;6658–6658;West Maas en Waal;Gelderland;
Bennebroek;2120–2121;Bloemendaal;Noord-Holland;
Bennekom;6720–6721;Ede;Gelderland;
Benneveld;7856–7856;Coevorden;Drenthe;
Benningbroek;1654–1654;Medemblik;Noord-Holland;
Benschop;3405–3405;Lopik;Utrecht;
Bent;2391–2391;Alphen aan den Rijn;Zuid-Holland;
Bentelo;7497–7497;Hof van Twente;Overijssel;
